time,flow,temp,salt
2000-04-01 00:00:00,    0.000000,   17.641123,    0.500000
2000-04-02 00:00:00,    0.000000,   18.057519,    0.500074
2000-04-03 00:00:00,    0.000000,   17.977938,    0.500063
2000-04-04 00:00:00,    0.000000,   18.130945,    0.500082
2000-04-05 00:00:00,    0.000000,   18.742544,    0.500104
2000-04-06 00:00:00,    0.000000,   18.914697,    0.500128
2000-04-07 00:00:00,    0.000000,   18.471969,    0.500195
2000-04-08 00:00:00,    0.000000,   18.559352,    0.500235
2000-04-09 00:00:00,    0.000000,   18.513045,    0.500271
2000-04-10 00:00:00,    0.000000,   18.571369,    0.500361
2000-04-11 00:00:00,    0.000000,   19.274194,    0.500436
2000-04-12 00:00:00,    0.000000,   19.913344,    0.500489
2000-04-13 00:00:00,    0.000000,   18.727290,    0.500404
2000-04-14 00:00:00,    0.000000,   18.853649,    0.500439
2000-04-15 00:00:00,    0.000000,   19.471415,    0.500472
2000-04-16 00:00:00,    0.000000,   19.322515,    0.500491
2000-04-17 00:00:00,    0.000000,   19.955736,    0.500575
2000-04-18 00:00:00,    0.000000,   20.078200,    0.500637
2000-04-19 00:00:00,    0.000000,   19.375194,    0.500619
2000-04-20 00:00:00,    0.000000,   19.408776,    0.500673
2000-04-21 00:00:00,    0.000000,   19.494217,    0.500716
2000-04-22 00:00:00,    0.000000,   19.559849,    0.500790
2000-04-23 00:00:00,    0.000000,   20.141729,    0.500858
2000-04-24 00:00:00,    0.000000,   20.012233,    0.500896
2000-04-25 00:00:00,    0.000000,   20.148331,    0.500953
2000-04-26 00:00:00,    0.000000,   20.487628,    0.501027
2000-04-27 00:00:00,    0.000000,   20.568883,    0.501088
2000-04-28 00:00:00,    0.000000,   20.683516,    0.501148
2000-04-29 00:00:00,    0.000000,   20.664879,    0.501216
2000-04-30 00:00:00,    0.000000,   20.776899,    0.501269
2000-05-01 00:00:00,    0.000000,   21.920125,    0.501456
2000-05-02 00:00:00,    0.000000,   21.432210,    0.501449
2000-05-03 00:00:00,    0.000000,   22.067688,    0.501516
2000-05-04 00:00:00,    0.000000,   21.577524,    0.501511
2000-05-05 00:00:00,    0.000000,   21.835345,    0.501555
2000-05-06 00:00:00,    0.000000,   21.749942,    0.501659
2000-05-07 00:00:00,    0.000000,   21.842832,    0.501763
2000-05-08 00:00:00,    0.000000,   21.832502,    0.501885
2000-05-09 00:00:00,    0.000000,   22.386508,    0.502071
2000-05-10 00:00:00,    0.000000,   22.785291,    0.502227
2000-05-11 00:00:00,    0.000000,   23.137461,    0.502359
2000-05-12 00:00:00,    0.000000,   22.769604,    0.502331
2000-05-13 00:00:00,    0.000000,   22.900041,    0.502393
2000-05-14 00:00:00,    0.000000,   22.887302,    0.502481
2000-05-15 00:00:00,    0.000000,   22.853726,    0.502544
2000-05-16 00:00:00,    0.000000,   23.088083,    0.502551
2000-05-17 00:00:00,    0.000000,   23.417980,    0.502647
2000-05-18 00:00:00,    0.000000,   23.436329,    0.502786
2000-05-19 00:00:00,    0.000000,   23.442148,    0.502882
2000-05-20 00:00:00,    0.000000,   23.631334,    0.502949
2000-05-21 00:00:00,    0.000000,   23.785925,    0.503067
2000-05-22 00:00:00,    0.000000,   23.918219,    0.503181
2000-05-23 00:00:00,    0.000000,   23.941183,    0.503271
2000-05-24 00:00:00,    0.000000,   24.053235,    0.503393
2000-05-25 00:00:00,    0.000000,   24.171915,    0.503527
2000-05-26 00:00:00,    0.000000,   24.272116,    0.503625
2000-05-27 00:00:00,    0.000000,   24.587142,    0.503873
2000-05-28 00:00:00,    0.000000,   24.910533,    0.503957
2000-05-29 00:00:00,    0.000000,   25.101336,    0.504159
2000-05-30 00:00:00,    0.000000,   25.614113,    0.504290
2000-05-31 00:00:00,    0.000000,   25.823080,    0.504441
2000-06-01 00:00:00,    0.000000,   25.531030,    0.504383
2000-06-02 00:00:00,    0.000000,   25.789923,    0.504447
2000-06-03 00:00:00,    0.000000,   25.760454,    0.504583
2000-06-04 00:00:00,    0.000000,   25.605867,    0.504738
2000-06-05 00:00:00,    0.000000,   25.813369,    0.504836
2000-06-06 00:00:00,    0.000000,   25.981547,    0.504911
2000-06-07 00:00:00,    0.000000,   25.972112,    0.505003
2000-06-08 00:00:00,    0.000000,   25.996692,    0.505109
2000-06-09 00:00:00,    0.000000,   26.181417,    0.505213
2000-06-10 00:00:00,    0.000000,   26.260531,    0.505322
2000-06-11 00:00:00,    0.000000,   26.525564,    0.505416
2000-06-12 00:00:00,    0.000000,   26.758882,    0.505531
2000-06-13 00:00:00,    0.000000,   27.246051,    0.505701
2000-06-14 00:00:00,    0.000000,   27.348966,    0.505834
2000-06-15 00:00:00,    0.000000,   27.577581,    0.506029
2000-06-16 00:00:00,    0.000000,   28.045829,    0.506164
2000-06-17 00:00:00,    0.000000,   27.960803,    0.506300
2000-06-18 00:00:00,    0.000000,   27.918143,    0.506466
2000-06-19 00:00:00,    0.000000,   28.073500,    0.506595
2000-06-20 00:00:00,    0.000000,   28.352623,    0.506764
2000-06-21 00:00:00,    0.000000,   28.862963,    0.507021
2000-06-22 00:00:00,    0.000000,   28.642149,    0.507109
2000-06-23 00:00:00,    0.000000,   28.638343,    0.507313
2000-06-24 00:00:00,    0.000000,   28.679573,    0.507403
