stepno, U, F, Uorb(top), Uorb(bot), Tuab(top), Taub(bot)
95, 1.474816e+00, 1.431741e+04, 1.069183e-03, 5.780856e-78, 6.169192e-05, 1.669331e-153
96, 8.246427e-01, 1.431741e+04, 1.591658e-08, 1.271118e-203, 1.419323e-06, 0.000000e+00
97, 8.489559e-01, 1.431741e+04, 1.276990e-07, 1.372528e-193, 1.526566e-06, 0.000000e+00
98, 6.445362e-01, 1.431741e+04, 3.279438e-12, 0.000000e+00, 8.720936e-07, 0.000000e+00
99, 1.625994e+00, 1.431740e+04, 1.985570e-03, 4.240486e-67, 2.024506e-04, 8.982338e-132
100, 1.226083e+00, 1.431740e+04, 1.339704e-04, 1.657305e-104, 4.078496e-06, 1.372029e-206
101, 8.718637e-01, 1.431740e+04, 2.293377e-07, 7.175852e-185, 1.608203e-06, 0.000000e+00
102, 3.038420e-01, 1.431740e+04, 2.045454e-46, 0.000000e+00, 1.936835e-07, 0.000000e+00
103, 8.098759e-01, 1.431740e+04, 1.826146e-08, 3.785989e-210, 1.378987e-06, 0.000000e+00
104, 1.601137e+00, 1.431740e+04, 2.190770e-03, 1.080940e-68, 2.451296e-04, 5.836624e-135
105, 8.157513e-01, 1.431740e+04, 2.881571e-08, 1.644964e-207, 1.402804e-06, 0.000000e+00
106, 1.758752e+00, 1.431740e+04, 4.741757e-03, 1.300558e-59, 1.129452e-03, 8.449239e-117
107, 8.213669e-01, 1.431740e+04, 3.505444e-08, 4.856472e-205, 1.422019e-06, 0.000000e+00
108, 1.226216e+00, 1.431740e+04, 1.123054e-04, 1.729213e-104, 3.798953e-06, 1.493671e-206
109, 3.418093e-01, 1.431740e+04, 2.760338e-36, 0.000000e+00, 2.462341e-07, 0.000000e+00
110, 3.452156e-01, 1.431740e+04, 1.262827e-35, 0.000000e+00, 2.511567e-07, 0.000000e+00
111, 8.744335e-01, 1.431740e+04, 1.873801e-07, 6.209944e-184, 1.611414e-06, 0.000000e+00
112, 1.190998e+00, 1.431740e+04, 7.430178e-05, 1.511613e-109, 3.264971e-06, 1.141405e-216
113, 3.797245e-01, 1.431740e+04, 6.686518e-30, 0.000000e+00, 3.038712e-07, 0.000000e+00
114, 3.209193e+00, 1.431740e+04, 1.191793e-01, 7.256105e-26, 1.722501e-01, 2.630058e-49
115, 5.034377e-01, 1.431740e+04, 1.352851e-15, 0.000000e+00, 5.502098e-07, 0.000000e+00
116, 1.544514e+00, 1.431740e+04, 5.531691e-03, 1.370581e-72, 1.533425e-03, 9.383563e-143
117, 6.437510e-01, 1.431740e+04, 5.281623e-13, 0.000000e+00, 8.592667e-07, 0.000000e+00
118, 1.084363e+00, 1.431740e+04, 1.248987e-05, 8.522366e-128, 2.472929e-06, 3.628094e-253
119, 1.676119e+00, 1.431740e+04, 4.245410e-03, 4.422928e-64, 9.061138e-04, 9.771877e-126
120, 9.023311e-01, 1.431739e+04, 1.316739e-06, 2.957941e-174, 1.745123e-06, 0.000000e+00
121, 9.701947e-01, 1.431739e+04, 8.947442e-06, 5.455607e-154, 2.036513e-06, 1.486772e-305
122, 1.286147e+00, 1.431739e+04, 7.332602e-04, 9.175954e-97, 3.045775e-05, 4.205917e-191
123, 1.247939e+00, 1.431739e+04, 6.228665e-05, 1.442676e-101, 3.417742e-06, 1.039670e-200
124, 7.898283e-01, 1.431739e+04, 3.338597e-09, 1.393126e-219, 1.298973e-06, 0.000000e+00
125, 4.888469e-01, 1.431739e+04, 1.248748e-19, 0.000000e+00, 5.008439e-07, 0.000000e+00
126, 6.451152e-01, 1.431739e+04, 7.208531e-12, 0.000000e+00, 8.783765e-07, 0.000000e+00
127, 4.339555e-01, 1.431739e+04, 1.666715e-22, 0.000000e+00, 4.002833e-07, 0.000000e+00
128, 1.026581e+00, 1.431739e+04, 1.508245e-05, 5.210918e-140, 2.267119e-06, 1.356396e-277
129, 4.796821e-01, 1.431739e+04, 2.755167e-17, 0.000000e+00, 4.975568e-07, 0.000000e+00
130, 8.849649e-01, 1.431739e+04, 1.565465e-06, 3.557056e-180, 1.693511e-06, 0.000000e+00
131, 9.983854e-01, 1.431739e+04, 1.616605e-05, 1.023064e-146, 2.168139e-06, 5.228336e-291
132, 7.200027e-01, 1.431739e+04, 7.027102e-09, 1.196935e-258, 1.120733e-06, 0.000000e+00
133, 5.846192e-01, 1.431739e+04, 2.226596e-12, 0.000000e+00, 7.388404e-07, 0.000000e+00
134, 5.095991e-01, 1.431739e+04, 1.398511e-15, 0.000000e+00, 5.613663e-07, 0.000000e+00
135, 1.317895e+00, 1.431739e+04, 7.328239e-04, 4.564131e-93, 3.056471e-05, 1.040577e-183
136, 2.462815e+00, 1.431739e+04, 6.140302e-02, 8.930094e-37, 6.782291e-02, 3.983550e-71
137, 4.926145e+00, 1.431738e+04, 3.272690e-01, 2.302815e-15, 7.959847e-01, 2.648965e-28
138, 8.535994e+00, 1.431738e+04, 1.212188e+00, 1.821089e-08, 6.815523e+00, 1.656612e-14
139, 4.532482e-01, 1.431738e+04, 3.510743e-21, 0.000000e+00, 4.352457e-07, 0.000000e+00
140, 1.217141e+00, 1.431738e+04, 5.540467e-05, 9.447663e-106, 3.236008e-06, 4.458687e-209
141, 4.914608e-01, 1.431738e+04, 1.765167e-20, 0.000000e+00, 5.011750e-07, 0.000000e+00
142, 1.032304e+00, 1.431737e+04, 7.851372e-06, 1.037189e-138, 2.253779e-06, 5.373708e-275
143, 6.850213e+00, 1.431737e+04, 6.458859e-01, 1.165044e-10, 2.364397e+00, 6.780208e-19
144, 7.540814e+00, 1.431737e+04, 7.236432e-01, 1.252605e-09, 2.831586e+00, 7.837661e-17
145, 7.086292e+00, 1.431736e+04, 6.554362e-01, 2.783011e-10, 2.411741e+00, 3.868905e-18
146, 3.591987e+00, 1.431736e+04, 1.429163e-01, 1.987654e-22, 2.225239e-01, 1.973513e-42
147, 5.080356e+00, 1.431736e+04, 3.624312e-01, 7.871913e-15, 9.379255e-01, 3.095414e-27
148, 6.233375e+00, 1.431736e+04, 5.199449e-01, 8.370452e-12, 1.659004e+00, 3.499903e-21
149, 4.691989e+00, 1.431735e+04, 3.178150e-01, 2.959671e-16, 7.659364e-01, 4.375675e-30
150, 4.255164e+00, 1.431735e+04, 2.465442e-01, 3.063155e-18, 5.147703e-01, 4.687011e-34
151, 5.413233e+00, 1.431735e+04, 4.152569e-01, 8.434021e-14, 1.163780e+00, 3.553264e-25
152, 6.379015e+00, 1.431734e+04, 5.945935e-01, 1.643484e-11, 2.076575e+00, 1.349239e-20
153, 6.496748e+00, 1.431733e+04, 5.707162e-01, 2.764415e-11, 1.930478e+00, 3.817375e-20
154, 7.311294e+00, 1.431732e+04, 7.666986e-01, 6.018924e-10, 3.143030e+00, 1.809656e-17
155, 8.059553e+00, 1.431732e+04, 8.951913e-01, 5.542342e-09, 4.050400e+00, 1.534422e-15
156, 9.135818e+00, 1.431730e+04, 1.123911e+00, 6.725347e-08, 5.917628e+00, 2.259371e-13
157, 8.619422e+00, 1.431729e+04, 1.083953e+00, 2.211632e-08, 5.598395e+00, 2.443341e-14
158, 8.611148e+00, 1.431728e+04, 9.999155e-01, 2.170218e-08, 4.863914e+00, 2.352692e-14
159, 8.242181e+00, 1.431727e+04, 9.118071e-01, 8.908531e-09, 4.168353e+00, 3.964335e-15
160, 8.103023e+00, 1.431726e+04, 9.566127e-01, 6.221294e-09, 4.541624e+00, 1.933391e-15
161, 7.300578e+00, 1.431725e+04, 7.628418e-01, 5.813734e-10, 3.116428e+00, 1.688374e-17
162, 6.398163e+00, 1.431724e+04, 5.795701e-01, 1.793385e-11, 1.986809e+00, 1.606591e-20
163, 6.149166e+00, 1.431724e+04, 5.717067e-01, 5.581529e-12, 1.954055e+00, 1.556197e-21
164, 4.979673e+00, 1.431723e+04, 3.576895e-01, 3.573593e-15, 9.211457e-01, 6.379233e-28
165, 2.672535e+00, 1.431723e+04, 5.456629e-02, 6.682192e-33, 5.527571e-02, 2.230468e-63
166, 6.415048e-01, 1.431723e+04, 5.406104e-12, 0.000000e+00, 8.683387e-07, 0.000000e+00
167, 1.574818e+00, 1.431723e+04, 1.955997e-03, 1.892954e-70, 1.963187e-04, 1.789939e-138
168, 7.018557e-01, 1.431723e+04, 5.438286e-10, 1.101209e-270, 1.047757e-06, 0.000000e+00
169, 6.117410e-01, 1.431723e+04, 4.304285e-12, 0.000000e+00, 8.008653e-07, 0.000000e+00
170, 9.536479e-01, 1.431722e+04, 2.382597e-06, 1.555649e-158, 1.932450e-06, 1.208876e-314
171, 1.308714e+00, 1.431722e+04, 5.030344e-04, 4.215406e-94, 1.631066e-05, 8.876405e-186
172, 2.364086e+00, 1.431722e+04, 3.348317e-02, 6.517951e-39, 2.839816e-02, 2.122171e-75
173, 1.280202e+00, 1.431722e+04, 3.829763e-04, 1.782216e-97, 1.083792e-05, 1.586642e-192
174, 6.076012e-01, 1.431722e+04, 3.305035e-12, 0.000000e+00, 7.903391e-07, 0.000000e+00
175, 3.401552e-01, 1.431722e+04, 1.314656e-35, 0.000000e+00, 2.451843e-07, 0.000000e+00
176, 2.481657e-01, 1.431722e+04, 7.344640e-64, 0.000000e+00, 1.307627e-07, 0.000000e+00
177, 1.630709e+00, 1.431722e+04, 5.637325e-03, 8.490417e-67, 1.592975e-03, 3.600943e-131
178, 2.521420e+00, 1.431722e+04, 7.070811e-02, 1.321630e-35, 8.315813e-02, 8.725249e-69
179, 1.239657e+00, 1.431722e+04, 9.685184e-04, 1.182004e-102, 5.026348e-05, 6.979046e-203
180, 6.779671e+00, 1.431721e+04, 7.783449e-01, 8.879335e-11, 3.262933e+00, 3.938393e-19
181, 7.100442e+00, 1.431720e+04, 7.773587e-01, 2.931475e-10, 3.232939e+00, 4.292700e-18
182, 6.644122e+00, 1.431719e+04, 5.654422e-01, 5.154013e-11, 1.892996e+00, 1.326934e-19
183, 6.967896e+00, 1.431718e+04, 7.267420e-01, 1.817255e-10, 2.887373e+00, 1.649643e-18
184, 7.680467e+00, 1.431717e+04, 8.739687e-01, 1.914593e-09, 3.912431e+00, 1.831096e-16
185, 6.883190e+00, 1.431716e+04, 6.971817e-01, 1.324275e-10, 2.693664e+00, 8.760212e-19
186, 4.421607e+00, 1.431716e+04, 2.558821e-01, 1.997602e-17, 5.424649e-01, 1.993315e-32
187, 3.803704e+00, 1.431715e+04, 1.820277e-01, 6.840635e-21, 3.229197e-01, 2.337497e-39
188, 1.159134e+00, 1.431715e+04, 1.093443e-04, 1.732714e-114, 3.478093e-06, 1.499727e-226
189, 7.342034e-01, 1.431715e+04, 5.786173e-09, 8.819076e-250, 1.155852e-06, 0.000000e+00
190, 4.229578e-01, 1.431715e+04, 1.278018e-22, 0.000000e+00, 3.832431e-07, 0.000000e+00
191, 4.116211e-01, 1.431715e+04, 3.043005e-24, 0.000000e+00, 3.615268e-07, 0.000000e+00
192, 4.027919e-01, 1.431715e+04, 3.411259e-25, 0.000000e+00, 3.462175e-07, 0.000000e+00
193, 3.910155e-01, 1.431715e+04, 1.441680e-26, 0.000000e+00, 3.262969e-07, 0.000000e+00
194, 1.988346e-01, 1.431715e+04, 3.152398e-95, 0.000000e+00, 8.438088e-08, 0.000000e+00
195, 1.085942e+00, 1.431715e+04, 4.942714e-05, 1.802121e-127, 2.659494e-06, 1.622280e-252
196, 1.158514e+00, 1.431715e+04, 1.252842e-04, 1.376337e-114, 3.671341e-06, 9.462543e-227
197, 6.139158e-01, 1.431715e+04, 3.310956e-12, 0.000000e+00, 8.040696e-07, 0.000000e+00
198, 9.993551e-01, 1.431715e+04, 1.116232e-05, 1.859220e-146, 2.150762e-06, 1.726711e-290
199, 1.165697e+00, 1.431715e+04, 8.142318e-05, 1.955105e-113, 3.220636e-06, 1.909407e-224
200, 8.346119e-01, 1.431715e+04, 1.231459e-07, 2.236913e-199, 1.482801e-06, 0.000000e+00
201, 3.547949e+00, 1.431714e+04, 1.517322e-01, 8.967950e-23, 2.455535e-01, 4.017396e-43
202, 4.512478e+00, 1.431714e+04, 3.983646e-01, 5.172205e-17, 1.124358e+00, 1.336317e-31
203, 8.321713e+00, 1.431713e+04, 9.804151e-01, 1.088773e-08, 4.722336e+00, 5.921519e-15
204, 9.090885e+00, 1.431711e+04, 1.194672e+00, 6.148275e-08, 6.589587e+00, 1.888273e-13
205, 9.195822e+00, 1.431710e+04, 1.184869e+00, 7.598914e-08, 6.485339e+00, 2.884439e-13
206, 9.308891e+00, 1.431709e+04, 1.298054e+00, 9.491776e-08, 7.599020e+00, 4.500422e-13
207, 6.845097e+00, 1.431708e+04, 7.257392e-01, 1.146243e-10, 2.888611e+00, 6.563136e-19
208, 7.151781e+00, 1.431708e+04, 7.608492e-01, 3.513943e-10, 3.112200e+00, 6.168046e-18
209, 8.458753e+00, 1.431707e+04, 1.106521e+00, 1.520910e-08, 5.818454e+00, 1.155488e-14
210, 7.079327e+00, 1.431706e+04, 7.834703e-01, 2.724187e-10, 3.278541e+00, 3.707080e-18
211, 9.050068e+00, 1.431705e+04, 1.221087e+00, 5.657133e-08, 6.851206e+00, 1.598641e-13
212, 7.975873e+00, 1.431704e+04, 9.754674e-01, 4.436322e-09, 4.709057e+00, 9.831152e-16
213, 1.993249e+00, 1.431703e+04, 1.599436e-02, 1.421813e-49, 1.106768e-02, 1.009818e-96
214, 6.106744e-01, 1.431703e+04, 5.542785e-12, 0.000000e+00, 8.000437e-07, 0.000000e+00
215, 1.520832e+00, 1.431703e+04, 2.589943e-03, 2.522513e-74, 3.400069e-04, 3.178522e-146
216, 2.314855e+00, 1.431703e+04, 3.645455e-02, 4.573196e-40, 3.234857e-02, 1.044715e-77
217, 1.216835e+00, 1.431703e+04, 2.203706e-04, 8.962480e-106, 5.604535e-06, 4.012496e-209
218, 1.044679e+00, 1.431703e+04, 2.618193e-05, 6.004664e-136, 2.381664e-06, 1.801091e-269
219, 2.514523e+00, 1.431702e+04, 5.036829e-02, 9.798473e-36, 5.018039e-02, 4.795954e-69
220, 2.326332e+00, 1.431702e+04, 3.586907e-02, 8.633353e-40, 3.154318e-02, 3.723207e-77
221, 1.538877e+00, 1.431702e+04, 2.575849e-03, 5.523459e-73, 3.364743e-04, 1.523984e-143
222, 2.367727e+00, 1.431701e+04, 4.693236e-02, 7.970908e-39, 4.625491e-02, 3.173758e-75
223, 1.843542e+00, 1.431701e+04, 1.060043e-02, 1.421581e-55, 5.619726e-03, 1.009488e-108
224, 2.181972e+00, 1.431701e+04, 2.890448e-02, 1.528063e-43, 2.383809e-02, 1.166382e-84
225, 1.785324e+00, 1.431701e+04, 2.058321e-02, 2.784104e-58, 1.637269e-02, 3.871944e-114
226, 3.549084e+00, 1.431700e+04, 1.611697e-01, 9.193142e-23, 2.703381e-01, 4.221688e-43
227, 3.445446e+00, 1.431700e+04, 1.042543e-01, 1.260597e-23, 1.369318e-01, 7.937988e-45
228, 4.902657e+00, 1.431699e+04, 3.626801e-01, 1.907599e-15, 9.455274e-01, 1.817743e-28
229, 5.648762e+00, 1.431698e+04, 5.541738e-01, 3.726604e-13, 1.880342e+00, 6.937208e-24
230, 5.565307e+00, 1.431697e+04, 4.863315e-01, 2.243464e-13, 1.511027e+00, 2.514179e-24
231, 5.910679e+00, 1.431696e+04, 4.354686e-01, 1.645671e-12, 1.240446e+00, 1.352833e-22
232, 6.282912e+00, 1.431695e+04, 5.155734e-01, 1.062748e-11, 1.633092e+00, 5.641818e-21
233, 4.719987e+00, 1.431694e+04, 2.946734e-01, 3.861193e-16, 6.749577e-01, 7.447342e-30
234, 3.899258e+00, 1.431694e+04, 1.836254e-01, 2.900388e-20, 3.255102e-01, 4.202139e-38
235, 1.803542e+00, 1.431693e+04, 4.391836e-03, 2.089328e-57, 9.701104e-04, 2.180576e-112
236, 2.517731e+00, 1.431693e+04, 3.371837e-02, 1.135394e-35, 2.797190e-02, 6.439489e-69
237, 1.248759e+00, 1.431693e+04, 1.336358e-04, 1.960739e-101, 4.173527e-06, 1.920427e-200
238, 4.840948e-01, 1.431693e+04, 1.011727e-18, 0.000000e+00, 4.973331e-07, 0.000000e+00
239, 1.220109e+00, 1.431692e+04, 1.082400e-04, 2.615754e-105, 3.725541e-06, 3.417842e-208
240, 7.524651e-01, 1.431692e+04, 1.525449e-09, 4.201948e-239, 1.188547e-06, 0.000000e+00
241, 1.534044e+00, 1.431692e+04, 1.685557e-03, 2.462652e-73, 1.468803e-04, 3.029454e-144
242, 1.583794e+00, 1.431692e+04, 2.796651e-03, 7.928162e-70, 3.959842e-04, 3.139809e-137
243, 4.025295e-01, 1.431692e+04, 2.304292e-25, 0.000000e+00, 3.454031e-07, 0.000000e+00
244, 1.961201e+00, 1.431692e+04, 1.099558e-02, 9.440745e-51, 6.046656e-03, 4.452160e-99
245, 1.277483e+00, 1.431691e+04, 2.944275e-04, 8.598431e-98, 7.805556e-06, 3.693148e-193
246, 1.104004e+00, 1.431691e+04, 3.196150e-05, 5.065748e-124, 2.637060e-06, 1.281874e-245
247, 4.602840e-01, 1.431691e+04, 4.816310e-20, 0.000000e+00, 4.513659e-07, 0.000000e+00
